address,logs,transactions,sigs,label
0x4200000000000000000000000000000000000006,2586,1287,4,WETH (L2 predeploy)
0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,662,364,3,USDC (Circle native)
0x827922686190790b37229fd06084350e74485b72,608,77,6,
0xb84099396f8de44d2c996ed708126a2f059406f4,601,1,1,
0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,251,30,4,ERC-4337 EntryPoint v0.6
0xca73ed1815e5915489570014e024b7ebe65de679,213,149,2,
0x2faeb0760d4230ef2ac21496bb4f0b47d634fd4c,193,15,2,
0x974474c8bcb36302be93858466728271fb36544e,187,10,1,
0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,155,85,2,
0xc1a6d4ccb0e913c7f785fcc60811b34bc8cc801c,142,71,2,
0xdc88389898a30f67a2165791f1bdcf2d2ae94dcf,130,65,2,
0x940181a94a35a4569e4529a3cdfb74e38fd98631,119,58,2,
0x6b2c0c7be2048daa9b5527982c29f48062b34d58,118,45,3,
0x25646338f3d92d9c28a7ab9eb543efccfd67621b,110,54,2,
0xf312735acd921abbfac2e8b84c5d329c766d0c97,104,52,2,
0xe9005b078701e2a0948d2eac43010d35870ad9d2,96,8,4,
0xec6c44e704eb1932ec5fe1e4aba58db6fee71460,87,13,8,
0x0b3e328455c4059eeb9e3f84b5543f74e24e7e1b,87,55,2,
0x04d72fb4803b4e02f14971e5bd092375eb330749,76,11,9,
0xba5e66fb16944da22a62ea4fd70ad02008744460,74,71,2,
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,74,31,4,
0xd9aaec86b65d86f6a7b5b1b0c42ffa531710b6ca,71,42,2,
0xd553df5e57d730ccd1714c484699dc0a73848444,68,34,2,
0xfd992b96cfdcbe2f813795f9676ffa0b3028e407,65,65,1,
0x06338d686a9664d0c2bb60eb18a153d8256a1119,64,32,2,
